,أخبر,أدب,أقبل,ألو,أمر,إصدار,ابن,ابي,اتر,اتف,احز,اخا,اخه,ادب,ارد,اسر,اسم,اصب,اضي,اعد,اكن,الف,الو,الي,اليوم,اما,امر,انس,انك,اني,بأن,ببا,بحث,بدت,بدع,بدو,بدي,بزة,بسم,بطل,بعد,بقر,بكل,بهى,بيد,تتج,ترى,تزد,تصل,تعب,تفز,تكف,تكون,تمء,تما,تمم,توج,ثغو,ثقف,ثلك,ثله,ثمن,ثنء,جاء,جبه,جدا,جدت,جدد,جدر,جذر,جرب,جسد,جعل,جلس,جمع,جمل,جنب,جهد,جوز,حاء,حال,حبب,حدت,حدث,حذه,حزن,حشد,حضر,حظة,حقب,حقق,حكم,حكى,حلة,حلق,حلم,حية,حيت,خبر,خرج,خفت,خلص,خلف,خلق,خنق,دبي,درش,دعو,دمع,دوم,ذرع,ذكر,رأا,رأت,ربط,ربع,رجل,ردت,ردم,رسخ,رسم,رغب,رفع,رهق,روح,زاي,زرق,زلت,زمن,زهر,زوج,سأل,سبع,سبق,سجع,سحة,سحق,سخط,سعة,سعد,سفر,سلل,سلم,سمء,سمع,سود,سيس,سين,شبا,شبب,شبة,شجر,شدو,شرة,شرع,شعر,شفر,شفه,شقر,شيء,صبح,صحت,صدق,صدقائ,صطلح,صعب,صفح,صنف,صوت,صور,ضحك,ضيع,ضيق,طئر,طار,طبق,طفل,طلب,طلبو,طلة,طول,طير,طيع,ظهر,عتب,عتم,عدت,عرب,عرس,عرش,عزز,عسكر,عضو,عقد,علو,عليها,عما,عمر,عمل,عمي,عنك,عود,عين,غبت,غرب,غرف,غصة,غضب,غنم,غيت,فأن,فتة,فتر,فتى,فتي,فجأ,فخر,فرح,فشل,فصل,فعل,فقد,فقر,فكر,فلة,فلد,فنة,فنن,قبل,قدر,قدم,قرء,قرب,قرن,قصر,قفر,قلب,قلد,قلع,قمر,قوت,كان,كانت,كبر,كتب,كثر,كفة,كلم,كله,كمريض,كمل,كنت,كنن,كوف,كوكب,كولنيالية,لالأفكار,لالحضارة,لالمستعمر,لته,لحق,لحل,لذلك,لسر,لكة,لكن,لكي,للع,لمى,لنب,لوح,ليبرالية,مال,مثل,مرة,مسح,مضى,معا,معك,مقاييس,ندى,نزل,نصص,نظر,نفس,نقم,نهض,نهم,هجر,هدأ,هدة,هرة,هزل,همم,هوة,وأر,وأن,وتل,وجد,وجه,وحا,وحد,ورب,ورق,وسك,وضع,وطن,وعد,وعن,وفي,وقت,وقف,وقل,وكان,وكل,ولم,ومقاييسه,وهذا,يأت,يبن,يحب,يخر,يرب,يرد,يرى,يزد,يعد,يقل,يكد,يكم,يكن,يمر,ينب,ينس,يهذ,يوم
1,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,1,,,,,,,,,1,,1,,,,,1,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1
2,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,,,2,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,1,,1,,,,,
3,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,1,1,,,,,1,,,,,1,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,
4,,,,,,,1,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,,,1,,1,1,2,,,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,2,,,,,,,,,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,1,1,,1,2,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,
5,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,3,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,,1,,,3,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
7,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,1,1,,,,,,,,,,1,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,2,,1,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,1,,,,,1,,2,,,,1,,,,,1,1,1,1,,,,1,,1,,,,,,,1,,,,2,,1,1,1,,,,,1,,,,,1,1,,,,1,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,1,,,,,3,1,,,1,,,1,,,,,,,,1,,,,,,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,1,,,,,,1,,2,,,1,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
9,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,4,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,1,
10,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,1,,1,,,,,,1,,,,1,,,,,1,,,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,
